year,state,county,county_code,county_population,annual_adj_deaths,annual_crude_rate_10k
2021,OK,Pittsburg,40121,43633,366,83.88146586299361
2021,OK,Pontotoc,40123,38163,295,77.30000262033907
2021,OK,Pottawatomie,40125,73019,528,72.30994672619455
2021,OK,Pushmataha,40127,10815,123,113.73092926490985
2021,OK,Roger Mills,40129,3386,22,64.97341996455995
2021,OK,Rogers,40131,96695,513,53.0534153782512
2021,OK,Seminole,40133,23567,203,86.1373955106717
2021,OK,Sequoyah,40135,39508,351,88.84276602207149
2021,OK,Stephens,40137,43129,347,80.45630550209836
2021,OK,Texas,40139,20865,87,41.69662113587347
2021,OK,Tillman,40141,7076,59,83.38044092707746
2021,OK,Tulsa,40143,672858,3832,56.951095179071956
2021,OK,Wagoner,40145,84050,403,47.947650208209396
2021,OK,Washington,40147,52772,392,74.28181611460623
2021,OK,Washita,40149,10915,100,91.61704076958314
2021,OK,Woods,40151,8583,63,73.40090877315625
2021,OK,Woodward,40153,20205,137,67.8049987626825
2018,TX,Anderson,48001,58057,409,70.44800799214565
2018,TX,Andrews,48003,18128,89,49.09532215357458
2018,TX,Angelina,48005,87092,655,75.20782620676985
2018,TX,Aransas,48007,23792,192,80.69939475453936
2018,TX,Archer,48009,8786,54,61.46141588891418
2018,TX,Armstrong,48011,1892,20,105.70824524312897
2018,TX,Atascosa,48013,50310,252,50.08944543828265
2018,TX,Austin,48015,29989,168,56.02054086498383
2018,TX,Bailey,48017,7027,33,46.96171908353494
2018,TX,Bandera,48019,22824,135,59.148264984227126
2018,TX,Bastrop,48021,86976,424,48.74908020603385
2018,TX,Baylor,48023,3582,54,150.7537688442211
2018,TX,Bee,48025,32587,188,57.69171755608065
2018,TX,Bell,48027,355642,1438,40.43391950332076
2018,TX,Bexar,48029,1986049,7920,39.87817017606312
2018,TX,Blanco,48031,11702,78,66.65527260297385
2018,TX,Borden,48033,648,1,15.432098765432098
2018,TX,Bosque,48035,18691,161,86.13771333797015
2018,TX,Bowie,48037,94324,692,73.36414910309146
2018,TX,Brazoria,48039,370200,1409,38.06050783360346
2018,TX,Brazos,48041,226758,696,30.69351467202921
2018,TX,Brewster,48043,9267,44,47.48030646379626
2018,TX,Briscoe,48045,1516,13,85.75197889182057
2018,TX,Brooks,48047,7114,59,82.93505763283667
2018,TX,Brown,48049,37924,302,79.6329501107478
2018,TX,Burleson,48051,18389,143,77.76388058078199
2018,TX,Burnet,48053,47542,301,63.312439527154936
2018,TX,Caldwell,48055,43247,242,55.95763868013967
2018,TX,Calhoun,48057,21561,134,62.14925096238579
2018,TX,Callahan,48059,13994,110,78.60511647849079
2018,TX,Cameron,48061,423908,1742,41.09382224444927
2018,TX,Camp,48063,13033,100,76.72830507174096
2018,TX,Carson,48065,6005,20,33.30557868442964
2018,TX,Cass,48067,30119,228,75.69972442644178
2018,TX,Castro,48069,7665,51,66.53620352250489
2018,TX,Chambers,48071,42454,175,41.22108635228718
2018,TX,Cherokee,48073,52592,372,70.73319135990265
2018,TX,Childress,48075,7291,46,63.09148264984227
2018,TX,Clay,48077,10456,82,78.4238714613619
2018,TX,Cochran,48079,2836,15,52.89139633286318
2018,TX,Coke,48081,3370,30,89.02077151335313
2018,TX,Coleman,48083,8397,98,116.70834821960223
2018,TX,Collin,48085,1005146,3001,29.85635917568194
2018,TX,Collingsworth,48087,2962,37,124.91559756921
2018,TX,Colorado,48089,21217,189,89.07951171230617
2018,TX,Comal,48091,148373,827,55.73790379651284
2018,TX,Comanche,48093,13534,112,82.75454411112753
2018,TX,Concho,48095,4276,16,37.418147801683816
2018,TX,Cooke,48097,40574,276,68.02385764282545
2018,TX,Coryell,48099,74808,317,42.375147043096995
2018,TX,Cottle,48101,1389,15,107.9913606911447
2018,TX,Crane,48103,4794,30,62.57822277847309
2018,TX,Crockett,48105,3499,27,77.16490425835953
2018,TX,Crosby,48107,5779,55,95.17217511680222
2018,TX,Culberson,48109,2204,13,58.983666061705996
2018,TX,Dallam,48111,7200,23,31.944444444444446
2018,TX,Dallas,48113,2637772,10969,41.58433708447887
2018,TX,Dawson,48115,12619,83,65.77383310880418
2018,TX,Deaf Smith,48117,18760,94,50.10660980810234
2018,TX,Delta,48119,5349,51,95.34492428491308
2018,TX,Denton,48121,859064,2470,28.75222335006472
2018,TX,DeWitt,48123,20187,196,97.09218804180908
2018,TX,Dickens,48125,2249,18,80.03557136505114
2018,TX,Dimmit,48127,10308,61,59.177337989910754
2018,TX,Donley,48129,3319,23,69.2979813196746
2018,TX,Duval,48131,11212,64,57.08169818052087
2018,TX,Eastland,48133,18322,157,85.68933522541208
2018,TX,Ector,48135,162124,766,47.247785645555254
2018,TX,Edwards,48137,1928,13,67.42738589211619
2018,TX,Ellis,48139,179436,831,46.311776900956325
2018,TX,El Paso,48141,840758,3220,38.29877324985311
2018,TX,Erath,48143,42446,190,44.76275738585497
2018,TX,Falls,48145,17335,109,62.87856936832997
2018,TX,Fannin,48147,35286,277,78.50138865272346
2018,TX,Fayette,48149,25349,210,82.84350467474063
2018,TX,Fisher,48151,3839,22,57.306590257879655
2018,TX,Floyd,48153,5837,48,82.23402432756552
2018,TX,Foard,48155,1200,19,158.33333333333334
2018,TX,Fort Bend,48157,787858,2217,28.139588606068607
2018,TX,Franklin,48159,10766,91,84.52535760728219
2018,TX,Freestone,48161,19808,150,75.7269789983845
2018,TX,Frio,48163,19816,99,49.95962858296326
2018,TX,Gaines,48165,20901,72,34.448112530500936
2018,TX,Galveston,48167,337890,1655,48.98043742046228
2018,TX,Garza,48169,6578,26,39.52569169960474
2018,TX,Gillespie,48171,26804,260,97.00044769437397
2018,TX,Glasscock,48173,1388,1,7.204610951008645
2018,TX,Goliad,48175,7584,44,58.016877637130804
2018,TX,Gonzales,48177,20826,128,61.46163449534236
2018,TX,Gray,48179,21895,181,82.66727563370632
2018,TX,Grayson,48181,133991,973,72.61681754744721
2018,TX,Gregg,48183,123707,863,69.76161413662929
2018,TX,Grimes,48185,28360,156,55.00705218617771
2018,TX,Guadalupe,48187,163694,701,42.82380539298936
2018,TX,Hale,48189,33830,179,52.91161690806976
2018,TX,Hall,48191,3028,23,75.95772787318363
2018,TX,Hamilton,48193,8484,78,91.93776520509194
2018,TX,Hansford,48195,5463,36,65.89785831960461
2018,TX,Hardeman,48197,3922,29,73.94186639469659
2018,TX,Hardin,48199,57207,403,70.44592444980509
2018,TX,Harris,48201,4698619,16882,35.92970615408485
2018,TX,Harrison,48203,66726,409,61.29544705212361
2018,TX,Hartley,48205,5619,37,65.84801566114967
2018,TX,Haskell,48207,5813,52,89.45467056597283
2018,TX,Hays,48209,222631,689,30.948071023352544
2018,TX,Hemphill,48211,3825,19,49.673202614379086
2018,TX,Henderson,48213,82299,685,83.2330891019332
2018,TX,Hidalgo,48215,865939,3074,35.49903630625252
2018,TX,Hill,48217,36354,302,83.07201408373218
2018,TX,Hockley,48219,22980,127,55.26544821583986
2018,TX,Hood,48221,60537,526,86.88901002692569
2018,TX,Hopkins,48223,36810,250,67.91632708503124
2018,TX,Houston,48225,23169,189,81.57451767447883
2018,TX,Howard,48227,36459,245,67.19877122246908
2018,TX,Hudspeth,48229,4795,17,35.45359749739312
2018,TX,Hunt,48231,96493,576,59.69344926574985
2018,TX,Hutchinson,48233,21198,123,58.02434191904897
2018,TX,Irion,48235,1522,1,6.570302233902759
2018,TX,Jack,48237,8843,56,63.32692525161145
2018,TX,Jackson,48239,14874,131,88.0731477746403
2018,TX,Jasper,48241,35872,260,72.47992863514719
2018,TX,Jeff Davis,48243,2252,12,53.285968028419184
2018,TX,Jefferson,48245,255001,1638,64.23504221552072
2018,TX,Jim Hogg,48247,5248,40,76.21951219512195
2018,TX,Jim Wells,48249,40822,286,70.06026162363432
2018,TX,Johnson,48251,171361,939,54.79659899276965
2018,TX,Jones,48253,19817,117,59.04021799465106
2018,TX,Karnes,48255,15650,112,71.56549520766774
2018,TX,Kaufman,48257,128622,637,49.52496462502526
2018,TX,Kendall,48259,45641,221,48.42137551762669
2018,TX,Kenedy,48261,442,1,22.624434389140273
2018,TX,Kent,48263,726,1,13.774104683195592
2018,TX,Kerr,48265,52405,505,96.36485068218681
2018,TX,Kimble,48267,4362,39,89.40852819807428
2018,TX,King,48269,277,1,36.101083032490976
2018,TX,Kinney,48271,3767,24,63.7111760021237
